SATNAME,LAUNCH
FTV 1127 DEB,2/06/1962
SAMOS 8 (FTV 2402),17/06/1962
FTV 2312,18/06/1962
FTV 2312 DEB,18/06/1962
FTV 2312 DEB,18/06/1962
TIROS 5,19/06/1962
DELTA 1 R/B,19/06/1962
DELTA 1 DEB (YO),19/06/1962
DELTA 1 DEB (YO),19/06/1962
DELTA 1 DEB,19/06/1962
FTV 1129,23/06/1962
FTV 1151,28/06/1962
COSMOS 6 (SPUTNIK 16),30/06/1962
SL-7 R/B,30/06/1962
TELSTAR 1,10/07/1962
DELTA 1 R/B,10/07/1962
ATLAS AGENA B R/B,18/07/1962
SAMOS 9 (FTV 2403),18/07/1962
FTV 1130,21/07/1962
FTV 1131,28/07/1962
COSMOS 7 (SPUTNIK 17),28/07/1962
SL-3 R/B,28/07/1962
SL-3 DEB,28/07/1962
SL-3 DEB,28/07/1962
FTV 1152,2/08/1962
FTV 1152 DEB,2/08/1962
SAMOS 10 (FTV 2404),5/08/1962
VOSTOK 3,11/08/1962
SL-3 R/B,11/08/1962
VOSTOK 4,12/08/1962
SL-3 R/B,12/08/1962
COSMOS 8 (SPUTNIK 18),18/08/1962
SL-7 R/B,18/08/1962
FTV 3502,23/08/1962
SCOUT X-2M DEB,23/08/1962
SCOUT X-2M DEB,23/08/1962
SCOUT X-2M R/B,23/08/1962
SPUTNIK 19,25/08/1962
SL-6 R/B,25/08/1962
SL-6 DEB,25/08/1962
SL-6 DEB,25/08/1962
SL-6 DEB,25/08/1962
SL-6 DEB,25/08/1962
SL-6 DEB,25/08/1962
SL-6 DEB,25/08/1962
MARINER 2 (VENUS),27/08/1962
ATLAS AGENA B R/B,27/08/1962
FTV 1153,29/08/1962
SPUTNIK 20,1/09/1962
SL-6 R/B,1/09/1962
SL-6 DEB,1/09/1962
SL-6 DEB,1/09/1962
FTV 1132,1/09/1962
SPUTNIK 21,12/09/1962
SL-6 R/B,12/09/1962
SL-6 DEB,12/09/1962
SL-6 DEB,12/09/1962
SL-6 DEB,12/09/1962
SL-6 DEB,12/09/1962
SL-6 DEB,12/09/1962
FTV 1133/ERS 2,17/09/1962
TIROS 6,18/09/1962
DELTA 1 R/B,18/09/1962
DELTA 1 DEB (YO),18/09/1962
DELTA 1 DEB (YO),18/09/1962
TIROS 6 DEB,18/09/1962
TIROS 6 DEB,18/09/1962
COSMOS 9,27/09/1962
SL-3 R/B,27/09/1962
SL-3 DEB,27/09/1962
SL-3 DEB,27/09/1962
SL-3 DEB,27/09/1962
SL-3 DEB,27/09/1962
SL-3 DEB,27/09/1962
SL-3 DEB,27/09/1962
ALOUETTE 1 (S-27),29/09/1962
THOR AGENA B R/B,29/09/1962
THOR AGENA B DEB,29/09/1962
THOR AGENA B DEB,29/09/1962
FTV 1154,29/09/1962
EXPLORER 14 (SERB 53A),2/10/1962
DELTA 1 R/B,2/10/1962
MERCURY ATLAS 8,3/10/1962
ATLAS D R/B,3/10/1962
FTV 1134,9/10/1962
COSMOS 10,17/10/1962
SL-3 R/B,17/10/1962
RANGER 5,18/10/1962
ATLAS AGENA B R/B,18/10/1962
COSMOS 11,20/10/1962
SL-7 R/B,20/10/1962
SPUTNIK 22,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
SPUTNIK 22 DEB,24/10/1962
STARAD (FTV 1401),26/10/1962
EXPLORER 15 (SERB 53B),27/10/1962
DELTA 1 R/B,27/10/1962
ANNA 1B,31/10/1962
THOR ABLESTAR R/B,31/10/1962
SL-6 R/B,1/11/1962
SL-6 DEB,1/11/1962
MARS 1,1/11/1962
SPUTNIK 24,4/11/1962
SL-6 DEB,4/11/1962
SL-6 R/B,4/11/1962
SL-6 DEB,4/11/1962
SL-6 DEB,4/11/1962
FTV 1136,5/11/1962
FTV 2405,11/11/1962
FTV 1135,24/11/1962
FTV 1155,4/12/1962
BLACK SPHERE,13/12/1962
INJUN 3,13/12/1962
SURCAL 1,13/12/1962
SURCAL 1A,13/12/1962
CALSPHERE 1A,13/12/1962
THOR AGENA D R/B,13/12/1962
RELAY 1 (A-15),13/12/1962
DELTA 1 R/B,13/12/1962
FTV 1156,14/12/1962
EXPLORER 16,16/12/1962
TRANSIT 5A,19/12/1962
SCOUT X-3 DEB,19/12/1962
SCOUT X-3 R/B,19/12/1962
